benchmark,method,model,accuracy,n,n_correct,accuracy_pct
folio,cgcot,gpt-4o-mini,0.6,100,60,60.0
folio,cot,gpt-4o-mini,0.43,100,43,43.0
folio,pot,gpt-4o-mini,0.59,100,59,59.0
folio,self_consistency,gpt-4o-mini,0.56,100,56,56.0
gsm8k,cgcot,gpt-4o-mini,0.8833333333333333,300,265,88.3
gsm8k,cot,gpt-4o-mini,0.9466666666666667,300,284,94.7
gsm8k,pot,gpt-4o-mini,0.8533333333333334,300,256,85.3
gsm8k,self_consistency,gpt-4o-mini,0.9633333333333334,300,289,96.3
math,cgcot,gpt-4o-mini,0.41,100,41,41.0
math,cot,gpt-4o-mini,0.49,100,49,49.0
math,pot,gpt-4o-mini,0.41,100,41,41.0
math,self_consistency,gpt-4o-mini,0.5,100,50,50.0
